j,ID_unique,POINT_X,POINT_Y,Y,Probability,LandPrice,Grid_supply,Chosen_BatTypes
885,886,159574.1601,381998.6736,1.0,0.554483533,280.4500122,77.0,0
891,892,164578.39,384452.6658,1.0,0.336057067,302.1634827,207.0,0
894,895,163342.1124,381128.9591,1.0,0.724641085,308.8346558,207.0,0
895,896,157842.5067,383776.5023,1.0,0.576279998,320.2145691,77.0,0
900,901,159966.8379,381413.1001,1.0,0.684867084,265.2000122,77.0,0
902,903,161085.9219,385771.8071,1.0,0.611875474,240.5599976,111.0,0
903,904,157741.7429,383758.1443,1.0,0.551945269,357.0935364,111.0,0
919,920,158675.0856,381565.0024,1.0,0.582140803,308.0599976,77.0,0
924,925,161395.3088,385016.8652,1.0,0.542782485,277.2999878,207.0,0
940,941,159543.4871,383056.1578,1.0,0.612442315,289.908905,77.0,0
941,942,161961.4198,385370.8716,1.0,0.620895028,264.3457642,207.0,0
945,946,161135.0004,386353.092,1.0,0.473391145,323.2876892,207.0,0
947,948,159576.104,384859.6578,1.0,0.615749657,245.6785278,111.0,0
951,952,161875.1568,384946.3795,1.0,0.538215876,184.0523376,207.0,0
956,957,160245.1088,384098.8193,1.0,0.706165731,314.456543,77.0,0
958,959,162387.7158,387952.0186,1.0,0.632302523,321.7678528,207.0,0
960,961,161427.32,387738.6705,1.0,0.551850855,330.7017822,207.0,0
977,978,161242.2256,385171.8411,1.0,0.614158571,316.0144348,111.0,0
981,982,156558.9546,384342.5248,1.0,0.357046336,369.9500122,111.0,0
984,985,162074.5898,387512.3129,1.0,0.66048044,286.8335876,207.0,0
988,989,163101.4662,383167.029,1.0,0.802411497,243.8999939,207.0,0
989,990,160350.2929,386918.3292,1.0,0.580859601,258.6822815,111.0,0
1001,1002,163918.6285,383853.6197,1.0,0.598206341,311.3414307,207.0,0
1002,1003,162022.8102,382745.1397,1.0,0.743892372,307.2219849,207.0,0
1009,1010,160537.4703,382467.2721,1.0,0.813887298,410.739624,77.0,0
1021,1022,160522.6219,381726.9293,1.0,0.696009278,329.1205139,77.0,0
1024,1025,162397.7978,387541.2874,1.0,0.6693753,282.3875427,207.0,0
1027,1028,161784.1353,384507.9563,1.0,0.401245177,214.3082275,207.0,0
1032,1033,158300.8247,383313.1406,1.0,0.591523111,307.9997864,77.0,0
1033,1034,160613.3782,383748.6511,1.0,0.77058053,310.2871704,111.0,0
1037,1038,161745.9741,382855.8252,1.0,0.660672247,270.2616577,207.0,0
1042,1043,161909.4238,386413.6542,1.0,0.488284796,300.5455017,207.0,0
1044,1045,163204.6361,381337.5336,1.0,0.793393612,238.2330933,207.0,0
1062,1063,163771.0575,383481.8247,1.0,0.627929151,301.7399902,207.0,0
1064,1065,160919.1526,387360.4916,1.0,0.548306167,267.7099915,207.0,0
1068,1069,158257.8953,383825.1534,1.0,0.521887779,309.5272827,77.0,0
1071,1072,160948.6943,384244.6617,1.0,0.691231072,325.0,111.0,0
1072,1073,161488.65,386647.5338,1.0,0.485163122,279.4567566,111.0,0
1074,1075,164372.9753,384819.9857,1.0,0.293852568,318.6961975,207.0,0
1075,1076,162687.2315,381445.624,1.0,0.808815062,294.7980042,207.0,0
1081,1082,160688.6427,387725.7906,1.0,0.489454955,327.4400024,207.0,0
1091,1092,159881.2133,384987.6019,1.0,0.715447962,234.1212158,111.0,0
1102,1103,159923.0392,387069.1633,1.0,0.493914008,280.4968567,111.0,0
1107,1108,160704.1951,385209.8253,1.0,0.73155123,294.6401672,111.0,0
1120,1121,160620.478,385661.0537,1.0,0.693350077,307.1929932,111.0,0
1135,1136,161961.1595,387413.2781,1.0,0.591635525,300.8681946,111.0,0
1148,1149,159795.5911,387926.0349,1.0,0.549388111,274.7999878,207.0,0
1149,1150,161524.8234,379584.6394,1.0,0.252085984,364.0437012,207.0,0
1157,1158,164028.3459,383251.0029,1.0,0.564790785,283.9078064,207.0,0
1167,1168,154590.8938,382979.3944,1.0,0.208467573,289.3715515,77.0,0
1172,1173,160169.49,386134.194,1.0,0.604189277,243.4811401,111.0,0
1178,1179,160251.1578,384375.4538,1.0,0.699968636,242.632431,111.0,0
