OBJECTID,Join_Count,TARGET_FID,Join_Count_1,TARGET_FID_1,CID,DependeVar,amenity,name,operator,brand,ID_unque,Parking_Location,NEAR_FID,Train_station,Gas_station,CarRental,BusStation,Hospital,EatingDrinking,RoadNetwork,PowerNetwork,obsvalue,categorie,POINT_X,POINT_Y,RASTERVALU
160,1,362,1,362,,1,charging_station, ,ABB, ,362,378.5360759,7579,218.3920182,712.9620738,2353.628469,2014.119417,4203.184735,366.2480622,20.83086772,21.95888905,3582,Bedrijfsterrein,159553.7539,384695.9231,0.574043453
161,1,363,1,363,,1,charging_station, ,NUON, ,363,290.3473134,7221,248.5538471,708.0503002,2271.604433,1970.865512,4135.567276,287.3376352,13.04031419,18.73159071,3582,Bedrijfsterrein,159529.9183,384610.6831,0.575127125
162,1,364,1,364,,1,charging_station, ,NUON, ,364,288.8016645,7221,249.1811489,706.5844583,2270.247225,1969.996327,4134.293249,285.9328559,13.06265792,18.77275569,3582,Bedrijfsterrein,159529.6625,384609.1587,0.578659177
163,1,365,1,365,,1,charging_station, ,Allego, ,365,335.3870659,2775,1045.513749,468.9101656,2774.858817,2699.339103,5055.713055,222.2907568,5.115456432,59.20099354,6263,Woongebied,159856.3054,385713.8992,0.662238955
164,1,366,1,366,,1,charging_station, ,Park&Charge, ,366,438.6305655,8372,815.9835714,193.2773035,2873.738047,2632.079095,4912.236175,401.0824847,6.496895821,44.23079002,6263,Bouwterrein,159498.7918,385441.1913,0.649793208
165,1,367,1,367,,1,charging_station, ,Opcharge, ,367,119.392653,7326,613.3023404,602.8951711,2220.992356,2356.410845,4454.093351,284.1904554,4.638123063,28.21576596,2493,Bouwterrein,159168.16,384785.6481,0.590813458
169,1,371,1,371,,1,charging_station, ,smart charging, ,371,0,1528,2592.038973,426.3943102,1279.475739,1819.739684,1273.340607,54.41355327,11.84316551,2.173178566,6897,Detailhandel en horeca,160224.0186,381580.3465,0.712749779
170,1,372,1,372,,1,charging_station, ,Park n Charge, ,372,471.0289923,2899,1803.646701,382.4588358,490.4117966,1024.120929,1615.864561,177.2844637,8.104932729,14.32288924,4302,Woongebied,160550.8217,382305.8405,0.771080554
171,1,373,1,373,,1,charging_station, ,smart charging, ,373,381.948841,3385,1125.906019,456.9855254,434.3157002,316.9123555,2319.994549,49.40209062,5.055149519,73.77655566,4669,Woongebied,160672.0438,383101.5881,0.829989314
172,1,374,1,374,,1,charging_station, ,Vattenfall InCharge, ,374,203.9156036,3161,964.2377169,772.3638913,1371.091592,1133.719933,3162.124112,138.8158179,5.622963419,23.31662015,6159,Woongebied,159922.6135,383719.6715,0.693287432
