"ID_unque","DependeVar","Eating","GasStation","Hospital","CarRental","NSStation","BusTaxi","RoadNetwor","PowerNetwo","obsvalue"
262,1,375.8605311,1627.57842466334,5256.791403,2456.41998313629,985.467812733055,2225.1649458322,2.58562513945192,10.7153119165039,7328
235,1,85.2413556284613,570.037646089253,4528.9612855067,2315.15349556672,1106.07724714778,2694.54318906018,4.27817884612252,28.0393122670828,6159
86,0,263.014163052392,2558.72702685012,2203.10459382144,2203.10459382144,5913.19950625746,7308.42775437154,19.9425246969541,111.646780265122,4919
39,0,1870.20761842593,1889.53233897618,7345.34440015009,2378.74323127149,5345.89172105396,2245.00937123523,11.0801497959694,18.8343878284511,2224
159,0,1911.39857392328,3472.11994181729,1342.36796710074,1342.36796710074,6281.65689624194,7872.73722665853,12.6374428000256,28.2542855730183,1198
240,1,0,549.014278129829,4985.19979368799,3459.18414847268,2233.26787233547,3588.11213935812,9.96618969337116,18.3381995843648,4282
209,1,738.490633380571,211.117432476122,5158.68344331871,2489.19305052283,1315.11533071123,3203.423988923,2.82722701092576,93.71019877,2493
401,1,41.6705693004635,1283.88073833449,4841.5366269926,4841.5366269926,3934.05742518707,5264.716599,15.553776723991,45.4295057279253,4282
34,0,976.0835869,1581.6936793139,4774.69365535361,1278.93671037917,4628.38466774881,3115.2893940775,68.9469140384857,65.1504621375337,2392
4,0,828.227019111879,0,4076.14632365065,265.709576558371,3198.41640571005,3985.16112510033,16.5906478375197,9.93313605504746,904
13,0,445.896968315688,1581.43203552277,4540.632274,1315.11690218824,931.942638938318,1931.03757267107,2.44495915563352,123.352804375855,1006
360,1,539.062127,1294.212137,4867.88352330002,2162.06053993386,2267.12521927005,3271.672630751,14.9167887148931,68.0308717926481,904
243,1,579.238979422062,1104.90265809086,4171.5754,3090.08424588326,2924.46924979221,3923.56418352496,5.15239088906983,27.9412563040566,6486
308,1,69.4818496248753,360.455838269001,4022.38225207368,1246.73748231904,4707.040713,4261.07985240866,5.170392624,17.4269171709609,2684
278,1,17.8885438199983,2115.12837045934,3152.10885633781,2800.66498345179,3289.57312474262,4296.54881,14.0084001606417,15.5754028279527,208
89,0,668.834246912156,1804.36931411924,4763.56955256487,1538.05418078471,1154.87991753479,2153.97485126754,30.0762295328432,41.7800163050383,7328
25,0,620.537402491448,896.312992095676,4731.00663702763,3945.48946932802,1986.77347040007,3969.11942317339,5.05395001110498,8.26867068272312,4269
291,1,181.235095690258,564.840373179623,3142.70489837556,3142.70489837556,4422.57886812117,5428.03079317373,9.30886076943358,9.27657123668814,5778
286,1,678.479680510156,577.251617029818,2690.10091387494,2690.10091387494,4844.58099352242,5850.03291857497,5.09745218496896,56.0018825124602,3031
338,1,292.362057189386,523.752746246789,3420.76872697576,896.454619863843,1966.65750986637,1471.03759979673,13.3809282113018,35.9216955778541,6159
121,0,NA,NA,NA,NA,NA,NA,137.030896461074,33.1936667818206,4
110,0,700.599482898694,953.973965366931,4087.06257221362,1918.60621784553,5316.18899837227,4360.86031650557,62.5459488314675,266.985902540421,1906
158,0,1691.42855758662,713.525699406314,2515.44488315593,2515.44488315593,5479.81359831186,6485.26552336441,11.047299846859,6.68923721016372,3031
64,0,1175.93904858643,966.071511340762,3806.12806620316,966.071511340762,3711.86041186842,3715.14286765284,37.3016277597833,48.2104203718084,904
199,0,289.116435703628,870.52628119014,5144.65502842278,1388.2873616421,2412.95890139845,3737.27261897554,19.2683247443251,94.352485840307,2740
67,0,744.6185626,1998.65088812688,4055.23640862683,4055.23640862683,3372.386209,4040.27175135625,2.3964328359637,4.59741183715502,1578
151,0,309.128963117521,1725.08708867309,4330.40577178599,956.763833858737,644.908588209305,1085.69182474419,20.217958205133,9.10623450666595,4669
