OBJECTID,Join_Count,TARGET_FID,bu_code,bu_naam,wk_code,gm_naam,gm_code,aantal_personenautos_2024,aantal_thuislaadpunten_2024,aantal_werklaadpunten_2024,aantal_semi_publiekelaadpunten_2024,aantal_bestemmingslaadpunten_2024,aantal_laadpunten_parkeergarages_2024,aantal_laadpunten_parkeerpleinen_2024,aantal_dc_snellaadpunten_2024,vermogen_dc_snellaadpunten_kw_2024,aantal_personenautos_2030,aantal_evs_2030,aantal_thuislaadpunten_2030,aantal_werklaadpunten_2030,aantal_semi_publiekelaadpunten_2030,aantal_bestemmingslaadpunten_2030,aantal_laadpunten_parkeergarages_2030,aantal_laadpunten_parkeerpleinen_2030,aantal_dc_snellaadpunten_2030,vermogen_dc_snellaadpunten_kw_2030,aantal_personenautos_2035,aantal_evs_2035,aantal_thuislaadpunten_2035,aantal_werklaadpunten_2035,aantal_semi_publiekelaadpunten_2035,aantal_bestemmingslaadpunten_2035,aantal_laadpunten_parkeergarages_2035,aantal_laadpunten_parkeerpleinen_2035,aantal_dc_snellaadpunten_2035,vermogen_dc_snellaadpunten_kw_2035,aantal_personenautos_2050,aantal_evs_2050,aantal_thuislaadpunten_2050,aantal_werklaadpunten_2050,aantal_semi_publiekelaadpunten_2050,aantal_bestemmingslaadpunten_2050,aantal_laadpunten_parkeergarages_2050,aantal_laadpunten_parkeerpleinen_2050,aantal_dc_snellaadpunten_2050,vermogen_dc_snellaadpunten_kw_2050,id,toename_vermogen_dc_snellaadpunten_kw_2030_tov_2024,toename_vermogen_dc_snellaadpunten_kw_2050_tov_2030,toename_vermogen_dc_snellaadpunten_kw_2050_tov_2024,X_cord,Y_cord,Join_Count_1,TARGET_FID_1,JOIN_FID,NAME,TOTPOP_CY,AREA,ID_12,NAME_1,TOTPOP_CY_1,Shape_Length_1,OBJECTID_1,regionaam,Solar_power_capacity_per_km2____MW_,Area_km2_,UniqueID,POINT_X,POINT_Y,Population,Solar_Supply_MW
63,1,8169,BU07725320,Tempel,WK077253,Eindhoven,GM0772,2692.997866,45,49.12941638,44.6726403,1.358414022,0,37,0.748593013,59.77517414,2863.440063,509.3924944,45,108.5192565,117.5521141,3.125642106,0,37,1.720133252,137.3526907,3002.337883,1204.847836,45,190.3952571,227.9441853,5.7167389,0,37,3.169874585,253.1145788,3218.687982,3218.687982,45,273.9529857,459.8125689,8.848,0,37,5.030785438,401.7083652,2689,77.57751661,264.3556744,341.9331911,161438,387921,14,7751,-1,Jagershoef,3606,0.55,0772,Eindhoven,245474,79940.36211,88,Eindhoven,2.38,1,2689,161437.6436,387920.7323,142.5269952,1.309
64,1,8110,BU07721120,Bergen,WK077211,Eindhoven,GM0772,953.2430534,17,138.1661542,20.74605873,5.237252154,0,25.98331089,0.02465263,1.848947236,1013.574642,236.5628388,17,305.1875927,54.59142434,12.05065288,0,66.64207722,0.056647347,4.248551034,1062.740438,559.5336163,17,535.4466303,105.8577112,22.04041083,0,79,0.10439016,7.829262026,1139.322091,1139.322091,17,770.4351739,162.7602987,34.11272727,0,79,0.165673589,12.42551916,6891,2.399603798,8.176968125,10.57657192,161115,382925,9,7812,-1,Binnenstad,4008,0.67,0772,Eindhoven,245474,79940.36211,88,Eindhoven,2.38,1,6891,161114.7922,382924.8874,66.18980643,1.5946
65,1,8110,BU07721140,Fellenoord,WK077211,Eindhoven,GM0772,147.1834871,0,37.59204016,0.824540603,2.174958634,0,2.999499236,0,0,156.4988591,9.402058877,0,83.03498285,2.169705895,5.004470046,0,7.174175941,0,0,164.0902003,22.23835337,0,145.6835167,4.207256044,9.153078829,0,13.36033487,0,0,175.9146293,175.9146293,0,209.6188475,25.13066132,14.16654545,9.297206778,30,0,0,6851,0,0,0,161252,383903,8,7818,-1,Binnenstad,4008,0.67,0772,Eindhoven,245474,79940.36211,88,Eindhoven,2.38,1,6851,161251.6947,383903.3528,2.630677161,1.5946
66,1,8179,BU07725450,Esp,WK077254,Eindhoven,GM0772,6.973790972,0.52772621,70.57474946,0.05429717,0.671502707,0,0,0.018411458,1.380859328,7.415168321,1.886097227,1.507002051,155.8886692,0.16028142,1.545093837,0,0,0.042306247,3.172968494,7.774858306,4.461118271,3.003390551,273.5041155,0.335467501,2.825946716,0,0,0.077962272,5.847170374,8.33511882,8.33511882,5,393.5353756,0.521510923,4.373818182,0,0,0.123730908,9.279818106,6884,1.792109166,6.106849612,7.898958778,162130,389251,17,7861,-1,Tempel,5255,1.19,0772,Eindhoven,245474,79940.36211,88,Eindhoven,2.38,1,6884,162130.4423,389250.6896,0.52772621,2.8322
67,1,8111,BU07726110,"Eliasterrein, Vonderkwartier",WK077261,Eindhoven,GM0772,1144.581587,19,22.33912573,22.73484018,0.744861084,0,23.47970126,0.025900864,1.942564818,1217.023159,259.2404852,19,34,64.42782595,1.71388776,0,40,0.059515567,4.463667542,1276.057698,613.1722418,19,34,128.2725101,3.134667533,0,40,0.109675738,8.225680356,1368.011109,1368.011109,19,34,210.5245437,4.851636364,0,40,0.174062125,13.05465937,7225,2.521102725,8.590991828,11.11209455,160434,383074,7,7870,-1,Bergen,2872,0.35,0772,Eindhoven,245474,79940.36211,88,Eindhoven,2.38,1,7225,160433.7304,383073.9763,72.53496628,0.833
68,1,8189,BU07726140,Schouwbroek,WK077261,Eindhoven,GM0772,736.8373324,19.58212762,0,11.39779339,1.126838263,0,0,0,0,783.4724136,108.9715729,22.78442624,0,27.38490766,2.592797972,0,0,0,0,821.4765652,257.7465613,28.5091395,0,51.30634687,4.742177296,0,0,0,0,880.6726128,880.6726128,51,0,125.7419333,7.339636364,0,0,0,0,6583,0,0,0,159664,383322,8,7942,-1,"Eliasterrein, Vonderkwartier",3264,0.3,0772,Eindhoven,245474,79940.36211,88,Eindhoven,2.38,1,6583,159663.8231,383322.281,30.49002688,0.714
69,1,8123,BU07722240,Roosten,WK077222,Eindhoven,GM0772,439.8256549,42.44207418,7.061313809,9.696685335,0.504464454,0,0,0.503987321,41.57895399,467.6626064,164.1399445,77.83510044,15.59734637,26.2518313,1.160747249,0,0,1.15807299,95.5410217,490.3476688,388.2343364,141.1068158,27.36528861,51.94768338,2.122984247,0,0,2.134105678,176.0637184,525.6823882,525.6823882,171,39.37494363,54.59078283,3.285818182,0,0,3.386956638,279.4239227,5742,53.9620677,183.882901,237.8449687,162560,380016,18,8113,-1,Kerstroosplein,1909,0.21,0772,Eindhoven,245474,79940.36211,88,Eindhoven,2.38,1,5742,162559.9662,380016.3536,45.92602629,0.4998
70,1,8156,BU07724250,Rapenland,WK077242,Eindhoven,GM0772,961.8670858,18.22863195,87.74924911,9.536853065,8.814840818,0,18.35169388,0.638093673,51.38825242,1022.744497,108.8368163,18.28818232,193.8244736,25.09662608,20.28250384,0,45.37912991,1.466225472,118.0810402,1072.355098,257.4278266,18.39463986,331,50.78081823,37.09630686,0,55,2.701971406,217.6006353,1149.629589,1149.629589,19,331,190.5028266,57.41527273,0,55,4.288194387,345.3455581,7175,66.69278782,227.2645178,293.9573056,160939,385938,8,8193,-1,Kronehoef,4646,0.67,0772,Eindhoven,245474,79940.36211,88,Eindhoven,2.38,1,7175,160938.7306,385937.6931,30.45232228,1.5946
71,1,8110,BU07721110,Binnenstad,WK077211,Eindhoven,GM0772,1325.22632,8,214.9251287,21.90468872,25.39874687,0,47.3034356,0.050241435,3.768107658,1409.101056,249.774447,8,474.7362553,57.640257,58.44123468,0,116.0814917,0.115445859,8.65843945,1477.45278,590.7825604,8,832.9169804,111.7696736,106.8878868,0,218.6575604,0.212744504,15.9558378,1583.91883,1583.91883,8,1198.454715,226.2741186,165.4341818,170.7083004,221,0.33763858,25.32289348,7848,4.890331791,16.66445403,21.55478582,161538,383285,9,8796,-1,Binnenstad,4008,0.67,0772,Eindhoven,245474,79940.36211,88,Eindhoven,2.38,1,7848,161538.1931,383285.3946,69.88638784,1.5946
72,1,8155,BU07725120,Prinsejagt,WK077251,Eindhoven,GM0772,2192.114061,65.41875195,3.402030075,32.3693269,3.068881259,0,18,0.117334036,8.800052668,2330.854883,377.3436999,70.86488151,7.514556479,85.29026052,7.061340891,0,18,0.26961269,20.22095176,2443.918421,892.5175487,80.60086615,13.1841662,165.5460257,12.91505578,0,18,0.496844307,37.26332306,2620.02851,2620.02851,111,18.97022935,367.4486886,19.98909091,0,18,0.788522397,59.1391798,7884,11.42089909,38.91822804,50.33912713,159949,386585,9,8833,-1,Woensel-West,4662,0.7,0772,Eindhoven,245474,79940.36211,88,Eindhoven,2.38,1,7884,159949.4353,386584.5789,105.5800082,1.666
73,1,8149,BU07724360,Eckartdal,WK077243,Eindhoven,GM0772,75.23245501,4.622568843,21.01901989,2.387940679,0.823244007,0,0,0,0,79.99398309,27.38212144,4.72361846,46.42775303,6.285756279,1.89424291,0,0,0,0,83.87427728,64.76595187,4.904263726,81.45673188,12.19162802,3.464533611,0,0,0,0,89.91830327,89.91830327,5,117.2052037,12.78543964,5.362181818,0,0,0,0,8214,0,0,0,163263,386217,9,9162,-1,Koudenhoven,540,1.76,0772,Eindhoven,245474,79940.36211,88,Eindhoven,2.38,1,8214,163262.9314,386217.0418,7.661462498,4.1888
74,1,8115,BU07722310,Poeijers,WK077223,Eindhoven,GM0772,0,0,0,0,0.331061777,0,0.331061777,0.073645831,5.523437313,0,0,0,0,0,0.76175644,0,0.76175644,0.169224986,12.69187398,0,0,0,0,0,1.393237781,0,1.393237781,0.311849087,23.38868149,0,0,0,0,0,2.156363636,0,2.156363636,0.494923632,37.11927243,3241,7.168436663,24.42739845,31.59583511,164112,382467,17,9193,-1,Irisbuurt,2662,0.54,0772,Eindhoven,245474,79940.36211,88,Eindhoven,2.38,1,3241,164111.7321,382466.5137,0,1.2852
75,1,8110,BU07723110,Villapark,WK077231,Eindhoven,GM0772,1173.558336,80.0695353,91.76115872,29.95435328,2.444720945,0,6,0,0,1247.833872,392.8807402,113.9740344,202.6861593,79.52715028,5.625179509,0,6,0,0,1308.362956,929.2667541,174.5847266,355.6095451,155.2094814,10.28834442,0,6,0,0,1402.644302,1402.644302,219,511.6739676,178.479321,15.92363636,0,6,0,0,7127,0,0,0,162352,383559,6,9334,-1,Binnenstad,4008,0.67,0772,Eindhoven,245474,79940.36211,88,Eindhoven,2.38,1,7127,162352.4382,383559.0151,109.9272408,1.5946
76,1,8116,BU07722170,Looiakkers,WK077221,Eindhoven,GM0772,286.3178773,1,15.35099293,4.553934323,2.5940058,0,7.147940123,0,0,304.4391869,51.92753212,1,33.90796109,11.98327664,5.968676426,0,17.95195307,0,0,319.2067178,122.8223333,1,59.49096207,23.23665765,10.91659363,0,34.15325128,0,0,342.2089272,342.2089272,1,70,51.48689565,16.896,0,40,0,0,8605,0,0,0,161701,381943,8,9503,-1,Rochusbuurt,1842,0.15,0772,Eindhoven,245474,79940.36211,88,Eindhoven,2.38,1,8605,161700.9232,381942.8915,14.52921903,0.357
