j,ID_unique,POINT_X,POINT_Y,Y,LandPrice,Grid_supply,Actual_required_MW,Available_intake_MW,Chosen_BatTypes
415,1221,160169.49,386134.194,1.0,243.4811401,111,121.8170066,109,0
416,1228,160251.1578,384375.4538,1.0,242.632431,111,121.8170066,109,0
417,1236,161245.3278,387448.226,1.0,280.0,207,197.6820818,190,0
419,1245,162350.9924,380830.3254,1.0,273.6091003,207,197.6820818,190,0
421,1248,162450.4726,380952.9247,1.0,293.5467529,207,197.6820818,190,0
423,1257,163552.8241,383770.7119,1.0,302.8745728,207,197.6820818,190,0
424,1261,161152.119,387236.3303,1.0,300.6499939,207,197.6820818,190,0
426,1265,160668.5044,385113.6767,1.0,302.7000122,111,121.8170066,109,0
427,1267,163552.8144,382158.1062,1.0,295.4330444,207,197.6820818,190,0
430,1273,159086.4271,383707.0126,1.0,282.6621094,77,110.1706551,64,0
432,1281,159165.5782,383855.0324,1.0,282.3063965,77,110.1706551,64,0
437,1287,160003.7245,382407.234,1.0,256.9587097,77,110.1706551,64,0
438,1288,160626.1067,384167.1646,1.0,276.8399963,111,121.8170066,109,0
439,1295,159374.9552,384411.8842,1.0,285.3280029,77,110.1706551,64,0
440,1298,158685.1998,383309.9523,1.0,172.7200012,77,110.1706551,64,0
441,1305,160021.0476,386154.8698,1.0,291.3428955,111,121.8170066,109,0
443,1307,160326.0284,385816.3664,1.0,287.0799866,111,121.8170066,109,0
444,1310,158599.2781,383225.2556,1.0,227.6161499,77,110.1706551,64,0
445,1311,160056.7516,384608.2349,1.0,307.6199951,111,121.8170066,109,0
448,1315,161732.6094,381672.8431,1.0,340.0641174,207,197.6820818,190,0
450,1324,162679.2856,381761.6161,1.0,450.9396973,207,197.6820818,190,0
453,1335,163890.0697,381844.5944,1.0,608.9171143,207,197.6820818,190,0
454,1336,157648.4887,383328.5276,1.0,376.7952881,77,110.1706551,64,0
455,1338,159950.9644,381147.331,1.0,257.5487976,77,110.1706551,64,0
456,1339,162637.5024,387329.5742,1.0,302.0799866,207,197.6820818,190,0
460,1347,157957.4886,380727.7347,1.0,503.1953125,77,110.1706551,64,0
462,1357,158426.6279,383393.6391,1.0,281.4041748,77,110.1706551,64,0
464,1368,162244.3931,385404.2307,1.0,393.5888977,207,197.6820818,190,0
466,1380,159321.1322,383958.7675,1.0,185.129364,77,110.1706551,64,0
467,1381,161284.6689,387715.6261,1.0,323.492981,207,197.6820818,190,0
469,1387,161679.5073,387632.8445,1.0,323.4537048,207,197.6820818,190,0
473,1396,159415.6648,385649.4631,1.0,501.1002197,111,121.8170066,109,0
474,1398,162166.0117,387340.5569,1.0,252.1999969,207,197.6820818,190,0
475,1401,162447.6443,381624.82,1.0,313.1855774,207,197.6820818,190,0
477,1404,162967.0241,383398.5694,1.0,366.8218384,207,197.6820818,190,0
478,1405,158884.6273,383941.9897,1.0,316.2243652,77,110.1706551,64,0
479,1406,159863.344,382358.8833,1.0,239.1228027,77,110.1706551,64,0
481,1412,159639.7284,384137.5416,1.0,304.6913452,111,121.8170066,109,0
482,1415,161389.3629,384006.3607,1.0,359.2832642,207,197.6820818,190,0
484,1419,160847.1341,383836.4936,1.0,284.6128845,111,121.8170066,109,0
485,1421,158819.258,383396.6631,1.0,295.2000122,77,110.1706551,64,0
486,1423,161351.306,385235.5784,1.0,342.7167358,207,197.6820818,190,0
487,1431,162457.1988,381239.521,1.0,340.1099854,207,197.6820818,190,0
488,1432,160197.1214,384958.8406,1.0,308.3979187,111,121.8170066,109,0
489,1434,159916.9236,384704.5549,1.0,232.5465698,111,121.8170066,109,0
490,1439,162542.8535,380775.8515,1.0,265.215271,207,197.6820818,190,0
491,1443,160528.139,386192.5764,1.0,268.2399902,111,121.8170066,109,0
492,1444,161867.7865,387013.7884,1.0,322.7600098,111,121.8170066,109,0
493,1454,161877.8127,381612.061,1.0,248.0,207,197.6820818,190,0
495,1461,160041.5232,384451.8581,1.0,300.0386353,111,121.8170066,109,0
496,1463,158959.6566,382691.7044,1.0,367.4752808,77,110.1706551,64,0
499,1469,162554.6982,381092.9515,1.0,347.7217407,207,197.6820818,190,0
500,1471,159108.917,382776.615,1.0,328.4571838,77,110.1706551,64,0
501,1472,162297.3759,385527.7287,1.0,319.8999939,207,197.6820818,190,0
502,1477,160367.7352,381303.6489,1.0,290.29599,77,110.1706551,64,0
505,1498,163447.606,383756.1992,1.0,356.1407776,207,197.6820818,190,0
507,1503,162554.6563,388093.9596,1.0,319.2958679,207,197.6820818,190,0
511,1516,161836.3064,387522.6066,1.0,310.164917,207,197.6820818,190,0
512,1520,161470.9774,383457.1374,1.0,245.1629944,111,121.8170066,109,0
515,1525,158421.9726,383727.5661,1.0,239.2402039,77,110.1706551,64,0
518,1529,159959.7104,384860.0637,1.0,190.1808777,111,121.8170066,109,0
519,1530,162082.7391,387031.105,1.0,301.7290039,207,197.6820818,190,0
521,1534,162301.9706,388153.0815,1.0,426.3966675,207,197.6820818,190,0
522,1535,164152.3134,383414.1966,1.0,292.1965332,207,197.6820818,190,0
524,1539,161540.2497,385218.6875,1.0,366.387146,207,197.6820818,190,0
525,1540,159629.6719,382996.987,1.0,323.5237732,77,110.1706551,64,0
528,1555,158607.9377,383039.8636,1.0,386.4798584,77,110.1706551,64,0
529,1557,162435.9704,387635.4361,1.0,296.0096741,207,197.6820818,190,0
530,1559,162256.3046,387995.4806,1.0,386.0078735,207,197.6820818,190,0
531,1561,159272.0492,381933.4262,1.0,358.0143127,77,110.1706551,64,0
534,1565,158868.032,383018.7536,1.0,346.1925354,77,110.1706551,64,0
536,1570,159375.5981,383203.1033,1.0,337.7797241,77,110.1706551,64,0
537,1571,161981.7122,386108.1384,1.0,271.4274292,207,197.6820818,190,0
539,1574,161637.6747,384011.2746,1.0,380.4389648,207,197.6820818,190,0
541,1579,161194.8447,384949.8115,1.0,315.5001526,111,121.8170066,109,0
543,1584,160177.1474,381752.9154,1.0,310.8392334,77,110.1706551,64,0
545,1588,163308.1079,383113.7574,1.0,323.5499878,207,197.6820818,190,0
546,1591,161712.4416,386897.7846,1.0,362.75,111,121.8170066,109,0
553,1609,163179.6289,383900.5781,1.0,396.2624207,207,197.6820818,190,0
557,1617,159443.419,385132.1161,1.0,183.1586456,111,121.8170066,109,0
558,1621,162089.2873,385359.9553,1.0,460.0628052,207,197.6820818,190,0
559,1627,163200.7088,382021.958,1.0,320.7938538,207,197.6820818,190,0
560,1628,160055.4613,384713.7534,1.0,330.165741,111,121.8170066,109,0
562,1634,159670.2907,382343.6643,1.0,248.486969,77,110.1706551,64,0
569,1666,161910.0405,385506.2625,1.0,267.8736877,207,197.6820818,190,0
571,1669,161629.5422,385135.806,1.0,339.1319275,207,197.6820818,190,0
572,1671,161328.6593,386794.4201,1.0,263.2096252,111,121.8170066,109,0
574,1676,160647.0123,384883.3936,1.0,309.3107605,111,121.8170066,109,0
575,1677,157486.5106,383528.4089,1.0,443.2109375,77,110.1706551,64,0
576,1679,161341.463,382014.9007,1.0,882.0216064,207,197.6820818,190,0
