station_j,m,t,inventory_MWh
86,1,0,0.088
86,1,2,0.1
86,2,0,0.088
86,2,2,0.1
86,3,0,0.088
86,3,2,0.1
88,0,0,0.088
88,0,2,0.088
88,0,3,0.088
88,1,0,0.088
88,1,2,0.088
88,1,3,0.088
88,2,0,0.088
88,2,2,0.088
88,2,3,0.088
88,3,0,0.088
88,3,2,0.088
88,3,3,0.088
90,0,0,0.088
90,0,2,0.1
90,1,0,0.088
90,1,2,0.1
90,2,0,0.088
90,2,2,0.1
90,3,0,0.088
90,3,2,0.1
91,0,0,0.088
91,0,2,0.088
91,0,3,0.088
92,0,0,0.088
92,0,2,0.1
92,1,0,0.088
92,1,2,0.1
92,2,0,0.088
92,2,2,0.1
92,3,0,0.088
92,3,2,0.1
93,0,0,0.088
93,0,2,0.1
93,1,0,0.088
93,1,2,0.1
93,2,0,0.088
93,2,2,0.1
93,3,0,0.088
93,3,2,0.1
94,0,0,0.088
94,0,2,0.1
94,1,0,0.088
94,1,2,0.1
94,2,0,0.088
94,2,2,0.1
94,3,0,0.088
94,3,2,0.1
95,0,0,0.088
95,0,2,0.088
95,0,3,0.088
95,1,0,0.1
95,1,1,0.1
95,1,2,0.1
95,1,3,0.1
96,0,0,0.088
96,0,2,0.1
96,1,0,0.088
96,1,2,0.1
96,2,0,0.088
96,2,2,0.1
96,3,0,0.088
96,3,2,0.1
97,0,0,0.088
97,0,2,0.1
97,1,0,0.088
97,1,2,0.1
97,2,0,0.088
97,2,2,0.1
97,3,0,0.088
97,3,2,0.1
98,0,0,0.088
98,0,2,0.1
98,1,0,0.088
98,1,2,0.1
98,2,0,0.088
98,2,2,0.1
98,3,0,0.088
98,3,2,0.1
99,0,0,0.088
99,0,2,0.1
99,1,0,0.088
99,1,2,0.088
99,1,3,0.088
99,2,0,0.088
99,2,2,0.088
99,2,3,0.088
99,3,0,0.088
99,3,2,0.1
99,3,3,0.088
100,0,0,0.088
100,0,2,0.1
100,1,0,0.088
100,1,2,0.1
100,1,3,0.088
100,2,0,0.088
100,2,2,0.1
100,2,3,0.088
100,3,0,0.088
100,3,2,0.1
103,0,0,0.088
103,0,2,0.088
103,0,3,0.088
103,1,0,0.088
103,1,2,0.088
103,1,3,0.088
103,2,0,0.088
103,2,2,0.088
103,2,3,0.088
